country,date,sector,mtco2
China,01/01/2019,Power,14.2510445
China,02/01/2019,Power,15.4874151
China,03/01/2019,Power,15.3806376
China,04/01/2019,Power,15.0996443
China,05/01/2019,Power,15.2260913
China,06/01/2019,Power,14.7128102
China,07/01/2019,Power,15.1417933
China,08/01/2019,Power,14.8120945
China,09/01/2019,Power,15.1745759
China,10/01/2019,Power,15.1455399
China,11/01/2019,Power,15.2307745
China,12/01/2019,Power,14.8270808
China,13/01/2019,Power,14.3615685
China,14/01/2019,Power,14.355012
China,15/01/2019,Power,14.2126421
China,16/01/2019,Power,14.494572
China,17/01/2019,Power,14.4055908
China,18/01/2019,Power,14.3877946
China,19/01/2019,Power,13.8707669
China,20/01/2019,Power,13.2366586
China,21/01/2019,Power,13.190763
China,22/01/2019,Power,13.2525816
China,23/01/2019,Power,13.1233246
China,24/01/2019,Power,12.8882269
China,25/01/2019,Power,12.6446993
China,26/01/2019,Power,12.4330177
China,27/01/2019,Power,11.6293768
China,28/01/2019,Power,11.8944472
China,29/01/2019,Power,11.199457
China,30/01/2019,Power,11.1067292
China,31/01/2019,Power,10.8678849
China,01/02/2019,Power,10.1110763
China,02/02/2019,Power,9.92093744
China,03/02/2019,Power,9.59030197
China,04/02/2019,Power,9.24468019
China,05/02/2019,Power,8.88126216
China,06/02/2019,Power,8.88875532
China,07/02/2019,Power,9.1669387
China,08/02/2019,Power,9.70925581
China,09/02/2019,Power,10.4960371
China,10/02/2019,Power,11.0477206
China,11/02/2019,Power,11.3277773
China,12/02/2019,Power,11.8663478
China,13/02/2019,Power,11.9169266
China,14/02/2019,Power,12.0883326
China,15/02/2019,Power,12.2784714
China,16/02/2019,Power,12.0864593
China,17/02/2019,Power,12.3524663
China,18/02/2019,Power,13.288174
China,19/02/2019,Power,13.1205147
China,20/02/2019,Power,13.1729668
China,21/02/2019,Power,13.5879002
China,22/02/2019,Power,13.443657
China,23/02/2019,Power,12.8947834
China,24/02/2019,Power,12.4686102
China,25/02/2019,Power,12.9725249
China,26/02/2019,Power,13.4099378
China,27/02/2019,Power,13.3125268
China,28/02/2019,Power,12.9462988
China,01/03/2019,Power,13.164537
China,02/03/2019,Power,12.9968776
China,03/03/2019,Power,12.6887216
China,04/03/2019,Power,12.3299868
China,05/03/2019,Power,12.461117
China,06/03/2019,Power,12.152961
China,07/03/2019,Power,12.1604542
China,08/03/2019,Power,12.5107592
China,09/03/2019,Power,12.5529082
China,10/03/2019,Power,11.886954
China,11/03/2019,Power,11.6818289
China,12/03/2019,Power,11.5891011
China,13/03/2019,Power,12.0883326
China,14/03/2019,Power,12.1070655
China,15/03/2019,Power,11.9759352
